      8640 <= x <=       8670 ; y = -3681.0000 +     0.4333 x ; interpolation
      8670 <= x <=       8700 ; y =  4700.0000 +    -0.5333 x ; interpolation
      8700 <= x <=       8730 ; y = -1970.0000 +     0.2333 x ; interpolation
      8730 <= x <=       8760 ; y = -1679.0000 +     0.2000 x ; interpolation
      8760 <= x <=       8790 ; y = -1679.0000 +     0.2000 x ; interpolation
      8790 <= x <=       8820 ; y =   958.0000 +    -0.1000 x ; interpolation
      8820 <= x <=       8850 ; y =  4192.0000 +    -0.4667 x ; interpolation
      8850 <= x <=       8880 ; y =  -528.0000 +     0.0667 x ; interpolation
      8880 <= x <=       8910 ; y = -4376.0000 +     0.5000 x ; interpolation
      8910 <= x <=       8940 ; y =   376.0000 +    -0.0333 x ; interpolation
      8940 <= x <=       8970 ; y =  5442.0000 +    -0.6000 x ; interpolation
      8970 <= x <=       9000 ; y = -1435.0000 +     0.1667 x ; interpolation
      9000 <= x <=       9030 ; y = -4135.0000 +     0.4667 x ; interpolation
      9030 <= x <=       9060 ; y =  1584.0000 +    -0.1667 x ; interpolation
      9060 <= x <=       9090 ; y =  4302.0000 +    -0.4667 x ; interpolation
      9090 <= x <=       9120 ; y =  -546.0000 +     0.0667 x ; interpolation
      9120 <= x <=       9150 ; y = -5106.0000 +     0.5667 x ; interpolation
      9150 <= x <=       9180 ; y =   689.0000 +    -0.0667 x ; interpolation
      9180 <= x <=       9210 ; y =  5585.0000 +    -0.6000 x ; interpolation
      9210 <= x <=       9240 ; y = -1783.0000 +     0.2000 x ; interpolation
      9240 <= x <=       9270 ; y = -4863.0000 +     0.5333 x ; interpolation
      9270 <= x <=       9300 ; y =  2244.0000 +    -0.2333 x ; interpolation
      9300 <= x <=       9330 ; y = -1166.0000 +     0.1333 x ; interpolation
      9330 <= x <=       9360 ; y =   700.0000 +    -0.0667 x ; interpolation
      9360 <= x <=       9390 ; y =  5692.0000 +    -0.6000 x ; interpolation
      9390 <= x <=       9420 ; y = -1507.0000 +     0.1667 x ; interpolation
      9420 <= x <=       9450 ; y = -5275.0000 +     0.5667 x ; interpolation
      9450 <= x <=       9480 ; y =  2285.0000 +    -0.2333 x ; interpolation
      9480 <= x <=       9510 ; y =  3865.0000 +    -0.4000 x ; interpolation
      9510 <= x <=       9540 ; y =  -256.0000 +     0.0333 x ; interpolation
      9540 <= x <=       9570 ; y = -5980.0000 +     0.6333 x ; interpolation
      9570 <= x <=       9600 ; y =  1676.0000 +    -0.1667 x ; interpolation
      9600 <= x <=       9630 ; y =  4556.0000 +    -0.4667 x ; interpolation
      9630 <= x <=       9660 ; y =  -901.0000 +     0.1000 x ; interpolation
      9660 <= x <=       9690 ; y = -3799.0000 +     0.4000 x ; interpolation
      9690 <= x <=       9720 ; y =   723.0000 +    -0.0667 x ; interpolation
      9720 <= x <=       9750 ; y =  4287.0000 +    -0.4333 x ; interpolation
      9750 <= x <=       9780 ; y =    62.0000 +     0.0000 x ; interpolation
      9780 <= x <=       9810 ; y = -5806.0000 +     0.6000 x ; interpolation
      9810 <= x <=       9840 ; y =  1715.0000 +    -0.1667 x ; interpolation
      9840 <= x <=       9870 ; y =  4011.0000 +    -0.4000 x ; interpolation
      9870 <= x <=       9900 ; y =    63.0000 +     0.0000 x ; interpolation
      9900 <= x <=       9930 ; y = -4557.0000 +     0.4667 x ; interpolation
      9930 <= x <=       9960 ; y =  5704.0000 +    -0.5667 x ; interpolation
      9960 <= x <=       9990 ; y = -2596.0000 +     0.2667 x ; interpolation
      9990 <= x <=      10020 ; y = -2596.0000 +     0.2667 x ; interpolation
     10020 <= x <=      10050 ; y =  4752.0000 +    -0.4667 x ; interpolation
     10050 <= x <=      10080 ; y = -1948.0000 +     0.2000 x ; interpolation
     10080 <= x <=      10110 ; y = -3628.0000 +     0.3667 x ; interpolation
     10110 <= x <=      10140 ; y =  4797.0000 +    -0.4667 x ; interpolation
     10140 <= x <=      10170 ; y =   741.0000 +    -0.0667 x ; interpolation
     10170 <= x <=      10200 ; y = -4344.0000 +     0.4333 x ; interpolation
     10200 <= x <=      10230 ; y =    76.0000 +     0.0000 x ; interpolation
     10230 <= x <=      10260 ; y =  5532.0000 +    -0.5333 x ; interpolation
     10260 <= x <=      10290 ; y = -1308.0000 +     0.1333 x ; interpolation
     10290 <= x <=      10320 ; y = -4738.0000 +     0.4667 x ; interpolation
     10320 <= x <=      10350 ; y =  2142.0000 +    -0.2000 x ; interpolation
     10350 <= x <=      10380 ; y =  4557.0000 +    -0.4333 x ; interpolation
     10380 <= x <=      10410 ; y = -1325.0000 +     0.1333 x ; interpolation
     10410 <= x <=      10440 ; y = -5489.0000 +     0.5333 x ; interpolation
     10440 <= x <=      10470 ; y =   427.0000 +    -0.0333 x ; interpolation
     10470 <= x <=      10500 ; y =  5662.0000 +    -0.5333 x ; interpolation
     10500 <= x <=      10530 ; y =    62.0000 +     0.0000 x ; interpolation
     10530 <= x <=      10560 ; y =  1115.0000 +    -0.1000 x ; interpolation
     10560 <= x <=      10590 ; y = -6629.0000 +     0.6333 x ; interpolation
     10590 <= x <=      10620 ; y =  5726.0000 +    -0.5333 x ; interpolation
     10620 <= x <=      10650 ; y =  -292.0000 +     0.0333 x ; interpolation
     10650 <= x <=      10680 ; y = -5617.0000 +     0.5333 x ; interpolation
     10680 <= x <=      10710 ; y =  -633.0000 +     0.0667 x ; interpolation
     10710 <= x <=      10740 ; y =  8292.0000 +    -0.7667 x ; interpolation
